Class,Parent,Recordable,Publishable,TopicGuess,DefaultEventType,OverridesEventType,Notes,SampleMessage
"App\DataExchange\Events\Created",,no,no,,created,no,,
"App\DataExchange\Events\Received",,no,no,,received,no,,
"App\Events\AbstractEvent",,no,no,,abstract_event,no,,
"App\Events\CommentCreated","App\Events\CommentEvent",no,no,,comment_created,no,,
"App\Events\CommentDeleted","App\Events\CommentEvent",no,no,,comment_deleted,no,,
"App\Events\CommentEvent",,no,no,,comment_event,no,,
"App\Events\CommentResolved","App\Events\CommentEvent",no,no,,comment_resolved,no,,
"App\Events\CommentUpdated","App\Events\CommentEvent",no,no,,comment_updated,no,,
"App\Modules\ExpertPanel\Events\ApplicationCompleted","App\Modules\ExpertPanel\Events\ExpertPanelEvent",yes,no,gpm-general-events,application_completed,no,,
"App\Modules\ExpertPanel\Events\ApplicationInitiated","App\Modules\ExpertPanel\Events\ExpertPanelEvent",yes,no,gpm-general-events,application_initiated,no,,
"App\Modules\ExpertPanel\Events\ClinvarOrganizationUpdated","App\Modules\ExpertPanel\Events\ExpertPanelEvent",yes,yes,gpm-general-events,clinvar_organization_updated,no,,"{""event_type"":""clinvar_organization_updated"",""schema_version"":""2.0.1"",""date"":""2026-04-20 01:58:58"",""data"":{""old_clinvar_org_id"":null,""new_clinvar_org_id"":""234234"",""group"":{""uuid"":""916-...-f65"",""name"":""Glaucoma"",""description"":""<p style=\"margin-left:0px;margin-right:0px;\">The G\u2026"",""caption"":null,""icon_url"":null,""status"":""active"",""status_date"":""2022-02-14T18:47:01+00:00"",""type"":""vcep"",""coi"":""http://localhost:8086/coi-group/916-...-f65"",""expert_panel"":{""uuid"":""916-...-f65"",""affiliation_id"":""50053"",""name"":""Glaucoma"",""short_name"":""Glaucoma"",""scope_description"":null,""membership_description"":""Lorem ipsum dolor sit amet, consectetur adipiscing\u2026"",""type"":""vcep"",""date_completed"":""2021-10-27T04:00:00.000000Z"",""inactive_date"":null,""current_step"":4,""clinvar_org_id"":""234234"",""vcep_definition_approval"":""2019-08-19T04:00:00.000000Z"",""vcep_draft_specification_approval"":""2021-03-02T05:00:00.000000Z"",""vcep_pilot_approval"":""2021-09-16T04:00:00.000000Z"",""vcep_final_approval"":""2021-10-27T04:00:00.000000Z""},""parent"":{""uuid"":""eb3-...-54a"",""name"":""Ocular"",""type"":""cdwg"",""status"":""active""}}}}"
"App\Modules\ExpertPanel\Events\CoiCompleted","App\Modules\Group\Events\GroupEvent",yes,yes,gpm-general-events,coi_completed,no,"Base group only","{""event_type"":""coi_completed"",""schema_version"":""2.0.1"",""date"":""2026-05-27 17:45:28"",""data"":{""work_fee_lab"":0,""contributions_to_gd_in_group"":2,""coi"":0,""coi_attestation"":1,""data_policy_attestation"":1,""admin_override"":1,""first_name"":""Stuart"",""last_name"":""Tompson"",""email"":""s***@w***.edu"",""group"":{""uuid"":""916-...-f65"",""name"":""Glaucoma"",""description"":""The Glaucoma Variant Curation Expert Panel aims to\u2026"",""caption"":null,""publications"":[{""publication_id"":""f52-...-46b"",""type"":""review"",""source_type"":""pmid"",""source_id"":""34445366"",""title"":""Current and Future Development in Lung Cancer Diag\u2026"",""authors"":[""Reem Nooreldeen"",""Horacio Bach""],""journal"":""International Journal of Molecular Sciences"",""published_at"":""2021-08-12T00:00:00.000000Z"",""url"":""https://pubmed.ncbi.nlm.nih.gov/34445366"",""meta"":{""doi"":{""id"":""10.3390/ijms22168661"",""link"":""https://doi.org/10.3390/ijms22168661""},""pmid"":{""id"":""34445366"",""link"":""https://pubmed.ncbi.nlm.nih.gov/34445366""},""type"":""review"",""pmcid"":{""id"":null,""link"":null},""title"":""Current and Future Development in Lung Cancer Diag\u2026"",""authors"":[""Reem Nooreldeen"",""Horacio Bach""],""journal"":""International Journal of Molecular Sciences"",""published_at"":""2021-08-12""}}],""icon_url"":null,""status"":""active"",""visibility"":""public"",""status_date"":""2022-02-14T18:47:01+00:00"",""type"":""vcep"",""coi"":""http://localhost:8081/coi-group/916-...-f65"",""expert_panel"":{""uuid"":""916-...-f65"",""affiliation_id"":""50053"",""name"":""Glaucoma"",""short_name"":""Glaucoma"",""scope_description"":""Lorem ipsum dolor sit amet, consectetur adipiscing\u2026"",""membership_description"":""Lorem ipsum dolor sit amet, consectetur adipiscing\u2026"",""type"":""vcep"",""date_completed"":""2021-10-27T04:00:00.000000Z"",""inactive_date"":null,""current_step"":4,""clinvar_org_id"":""234234"",""vcep_definition_approval"":""2019-08-19T04:00:00.000000Z"",""vcep_draft_specification_approval"":""2021-03-02T05:00:00.000000Z"",""vcep_pilot_approval"":""2021-09-16T04:00:00.000000Z"",""vcep_final_approval"":""2021-10-27T04:00:00.000000Z"",""funding_awards"":[{""uuid"":""b6a-...-090"",""funding_source"":{""uuid"":""bdc-...-b5a"",""name"":""American Society of Hematology"",""funding_type"":""Foundation"",""caption"":""ASH is a professional society serving both clinici\u2026"",""website_url"":""https://www.hematology.org/"",""logo_path"":null},""award_number"":""AWD 234235"",""start_date"":""2026-03-01"",""end_date"":""2030-10-31"",""award_url"":""https://www.lipsum.com"",""funding_source_division"":null,""rep_contacts"":[{""name"":""Andreas Natulanggan"",""role"":""PIC"",""email"":""a***@e***.edu"",""phone"":""(854) 214 4568""}],""notes"":""Ut in feugiat magna. Integer sed enim nibh. Donec \u2026"",""contact_pis"":[{""uuid"":""9f8-...-863"",""first_name"":""Andrew"",""last_name"":""Dubowsky"",""email"":""a***@s***.au"",""is_primary"":false},{""uuid"":""3e9-...-b70"",""first_name"":""Ales"",""last_name"":""Cvekl"",""email"":""a***@e***.edu"",""is_primary"":true},{""uuid"":""ace-...-0ec"",""first_name"":""Eleanor"",""last_name"":""Seaby"",""email"":""e***@b***.org"",""is_primary"":false}]}]},""parent"":{""uuid"":""eb3-...-54a"",""name"":""Ocular"",""type"":""cdwg"",""status"":""active""}}}}"
"App\Modules\ExpertPanel\Events\ContactAdded","App\Modules\ExpertPanel\Events\ExpertPanelEvent",yes,yes,gpm-general-events,contact_added,no,,
"App\Modules\ExpertPanel\Events\ContactRemoved","App\Modules\ExpertPanel\Events\ExpertPanelEvent",yes,yes,gpm-general-events,contact_removed,no,,
"App\Modules\ExpertPanel\Events\DocumentAdded","App\Modules\ExpertPanel\Events\ExpertPanelEvent",yes,no,gpm-general-events,document_added,no,,
"App\Modules\ExpertPanel\Events\DocumentDeleted","App\Modules\ExpertPanel\Events\ExpertPanelEvent",yes,no,gpm-general-events,document_deleted,no,,
"App\Modules\ExpertPanel\Events\DocumentInfoUpdated","App\Modules\ExpertPanel\Events\ExpertPanelEvent",yes,no,gpm-general-events,document_info_updated,no,,
"App\Modules\ExpertPanel\Events\DocumentMarkedFinal","App\Modules\ExpertPanel\Events\ExpertPanelEvent",yes,no,gpm-general-events,document_marked_final,no,,
"App\Modules\ExpertPanel\Events\ExpertPanelAttributesUpdated","App\Modules\ExpertPanel\Events\ExpertPanelEvent",yes,yes,gpm-general-events,expert_panel_attributes_updated,yes,,
"App\Modules\ExpertPanel\Events\ExpertPanelDeleted","App\Modules\ExpertPanel\Events\ExpertPanelEvent",yes,yes,gpm-general-events,expert_panel_deleted,no,,
