Topic,EventType,Count,LastSent
gpm-checkpoint-events,group_checkpoint_event,7,"2025-09-11 15:57:32"
gpm-general-events,coi_completed,129,"2025-09-10 15:47:17"
gpm-general-events,ep_definition_approved,136,"2025-03-19 18:07:01"
gpm-general-events,ep_final_approval,37,"2025-05-08 12:46:57"
gpm-general-events,ep_info_updated,261,"2025-06-26 23:01:06"
gpm-general-events,gene_added,177,"2025-06-10 20:46:26"
gpm-general-events,gene_removed,10,"2025-02-20 19:09:45"
gpm-general-events,group_checkpoint_event,254,"2025-09-05 16:34:00"
gpm-general-events,group_created,4,"2025-09-02 21:27:00"
gpm-general-events,group_description_updated,165,"2025-06-26 23:03:43"
gpm-general-events,group_name_updated,6,"2025-09-02 22:18:02"
gpm-general-events,group_status_updated,5,"2025-09-02 22:05:02"
gpm-general-events,member_added,3933,"2025-09-02 21:27:17"
gpm-general-events,member_permission_granted,132,"2025-06-10 20:29:32"
gpm-general-events,member_permission_revoked,43,"2025-04-23 12:52:03"
gpm-general-events,member_removed,321,"2025-07-03 19:11:16"
gpm-general-events,member_retired,1257,"2025-07-10 18:01:57"
gpm-general-events,member_role_assigned,4779,"2025-09-02 19:59:59"
gpm-general-events,member_role_removed,378,"2025-07-06 20:17:29"
gpm-general-events,member_unretired,77,"2025-05-12 16:41:40"
gpm-general-events,member_updated,15,"2025-09-02 19:59:59"
gpm-general-events,parent_updated,3,"2025-06-30 15:02:04"
gpm-general-events,scope_description_updated,11,"2025-08-27 18:53:14"
gpm-general-events,step_date_approved_updated,1,"2024-12-17 23:11:50"
gpm-general-events,vcep_draft_specifications_approved,53,"2025-06-24 20:00:17"
gpm-general-events,vcep_pilot_approved,38,"2025-03-20 21:03:02"
gpm-person-events,created,3652,"2025-06-26 12:33:11"
gpm-person-events,deleted,15,"2025-06-26 01:34:40"
gpm-person-events,person_created,20,"2025-07-11 15:26:55"
gpm-person-events,person_updated,122,"2025-09-10 15:40:58"
gpm-person-events,updated,9015,"2025-06-26 02:30:50"
